plan,nodes,tag,test,tu,starttime,iteration,size,duration
EP1,1,azst-12,BankTransaction.1000.0,1,2021-09-29T00:20:21.4753249Z,0,1000,95.3410574
EP1,1,azst-12,BankTransaction.1000.0,1,2021-09-29T00:22:36.9827222Z,1,1000,93.867235
EP1,1,azst-12,BankTransaction.1000.0,1,2021-09-29T00:24:49.2708876Z,2,1000,95.0807213
EP1,1,azst-12,BankTransaction.1000.0,1,2021-09-29T00:27:00.3963582Z,3,1000,93.6901307
EP1,1,azst-12,BankTransaction.1000.0,1,2021-09-29T00:29:12.3912590Z,4,1000,117.4188852
EP1,1,azst-12,BankTransaction.1000.0,1,2021-09-29T00:31:27.9325427Z,5,1000,94.4082723
EP1,1,neth,BankTransaction.1000.0,20,2021-09-29T00:37:06.6982315Z,0,1000,50.9893974
EP1,1,neth,BankTransaction.1000.0,20,2021-09-29T00:39:26.5559235Z,1,1000,64.7402812
EP1,1,neth,BankTransaction.1000.0,20,2021-09-29T00:41:47.7543543Z,2,1000,51.6978519
EP1,1,neth,BankTransaction.1000.0,20,2021-09-29T00:44:04.8243851Z,3,1000,67.2473698
EP1,1,neth,BankTransaction.1000.0,20,2021-09-29T00:46:23.2864861Z,4,1000,54.3951037
EP1,1,neth,BankTransaction.1000.0,20,2021-09-29T00:48:39.8535841Z,5,1000,58.1765465
EP1,4,azst-12,BankTransaction.1000.0,1,2021-09-29T00:54:30.7529439Z,0,1000,46.3418177
EP1,4,azst-12,BankTransaction.1000.0,1,2021-09-29T00:56:26.1833993Z,1,1000,31.2226561
EP1,4,azst-12,BankTransaction.1000.0,1,2021-09-29T00:58:17.7298344Z,2,1000,27.9971921
EP1,4,azst-12,BankTransaction.1000.0,1,2021-09-29T01:00:09.6128124Z,3,1000,48.1625985
EP1,4,azst-12,BankTransaction.1000.0,1,2021-09-29T01:02:01.1402199Z,4,1000,41.5035455
EP1,4,azst-12,BankTransaction.1000.0,1,2021-09-29T01:03:52.7249420Z,5,1000,41.0836702
EP1,4,neth,BankTransaction.1000.0,20,2021-09-29T01:09:40.5383629Z,0,1000,16.1734493
EP1,4,neth,BankTransaction.1000.0,20,2021-09-29T01:11:31.9198669Z,1,1000,13.8249839
EP1,4,neth,BankTransaction.1000.0,20,2021-09-29T01:13:20.8304521Z,2,1000,13.9308617
EP1,4,neth,BankTransaction.1000.0,20,2021-09-29T01:15:10.5045740Z,3,1000,13.8572218
EP1,4,neth,BankTransaction.1000.0,20,2021-09-29T01:16:58.2446312Z,4,1000,13.6226491
EP1,4,neth,BankTransaction.1000.0,20,2021-09-29T01:18:54.2204705Z,5,1000,16.546942
EP1,8,azst-12,BankTransaction.1000.0,1,2021-09-29T01:24:16.8101693Z,0,1000,25.9391327
EP1,8,azst-12,BankTransaction.1000.0,1,2021-09-29T01:26:10.8963477Z,1,1000,42.187638
EP1,8,azst-12,BankTransaction.1000.0,1,2021-09-29T01:28:02.5724657Z,2,1000,24.2018907
EP1,8,azst-12,BankTransaction.1000.0,1,2021-09-29T01:29:51.4901562Z,3,1000,40.6840997
EP1,8,azst-12,BankTransaction.1000.0,1,2021-09-29T01:31:41.1449953Z,4,1000,26.928923
EP1,8,azst-12,BankTransaction.1000.0,1,2021-09-29T01:33:30.5190740Z,5,1000,44.9022005
EP1,8,neth,BankTransaction.2000.0,20,2021-09-29T01:39:22.0336954Z,0,2000,19.9314788
EP1,8,neth,BankTransaction.2000.0,20,2021-09-29T01:41:20.5325608Z,1,2000,17.6940159
EP1,8,neth,BankTransaction.2000.0,20,2021-09-29T01:43:14.3111237Z,2,2000,17.5851829
EP1,8,neth,BankTransaction.2000.0,20,2021-09-29T01:45:08.0158798Z,3,2000,18.4227819
EP1,8,neth,BankTransaction.2000.0,20,2021-09-29T01:47:01.5519212Z,4,2000,19.5581925
EP1,8,neth,BankTransaction.2000.0,20,2021-09-29T01:48:55.5934028Z,5,2000,20.1792953
EP1,12,azst-12,BankTransaction.1000.0,1,2021-09-29T01:54:26.3941978Z,0,1000,31.5706911
EP1,12,azst-12,BankTransaction.1000.0,1,2021-09-29T01:56:21.7980935Z,1,1000,39.6488494
EP1,12,azst-12,BankTransaction.1000.0,1,2021-09-29T01:58:13.9186176Z,2,1000,19.5325995
EP1,12,azst-12,BankTransaction.1000.0,1,2021-09-29T02:00:05.9644908Z,3,1000,30.1792343
EP1,12,azst-12,BankTransaction.1000.0,1,2021-09-29T02:02:01.0681434Z,4,1000,40.951014
EP1,12,azst-12,BankTransaction.1000.0,1,2021-09-29T02:03:53.5180255Z,5,1000,23.3011066
EP1,12,neth,BankTransaction.2000.0,20,2021-09-29T02:09:38.0716370Z,0,2000,12.2538777
EP1,12,neth,BankTransaction.2000.0,20,2021-09-29T02:11:31.5298279Z,1,2000,11.4709246
EP1,12,neth,BankTransaction.2000.0,20,2021-09-29T02:13:24.5802872Z,2,2000,11.6005266
EP1,12,neth,BankTransaction.2000.0,20,2021-09-29T02:15:17.1407208Z,3,2000,11.7346698
EP1,12,neth,BankTransaction.2000.0,20,2021-09-29T02:17:09.1184523Z,4,2000,12.5454287
EP1,12,neth,BankTransaction.2000.0,20,2021-09-29T02:19:02.5133134Z,5,2000,11.7554212
EP2,1,azst-12,BankTransaction.2000.0,1,2021-09-29T02:37:01.7694133Z,0,2000,93.7279489
EP2,1,azst-12,BankTransaction.2000.0,1,2021-09-29T02:38:55.0022238Z,1,2000,94.3013633
EP2,1,azst-12,BankTransaction.2000.0,1,2021-09-29T02:40:45.9851822Z,2,2000,98.0209339
EP2,1,azst-12,BankTransaction.2000.0,1,2021-09-29T02:42:37.0980392Z,3,2000,98.112409
EP2,1,azst-12,BankTransaction.2000.0,1,2021-09-29T02:44:32.4019341Z,4,2000,95.4847438
EP2,1,azst-12,BankTransaction.2000.0,1,2021-09-29T02:46:25.1436673Z,5,2000,100.1860521
EP2,1,neth,BankTransaction.3000.0,20,2021-09-29T02:51:45.6804323Z,0,3000,88.2564485
EP2,1,neth,BankTransaction.3000.0,20,2021-09-29T02:53:42.5113082Z,1,3000,93.498239
EP2,1,neth,BankTransaction.3000.0,20,2021-09-29T02:55:39.6003231Z,2,3000,79.964559
EP2,1,neth,BankTransaction.3000.0,20,2021-09-29T02:57:36.9596082Z,3,3000,76.6493848
EP2,1,neth,BankTransaction.3000.0,20,2021-09-29T02:59:33.3528114Z,4,3000,95.3229566
EP2,1,neth,BankTransaction.3000.0,20,2021-09-29T03:01:32.7823645Z,5,3000,87.7307975
EP2,4,azst-12,BankTransaction.2000.0,1,2021-09-29T03:06:56.9405234Z,0,2000,45.0417191
EP2,4,azst-12,BankTransaction.2000.0,1,2021-09-29T03:08:50.1879950Z,1,2000,42.5105415
EP2,4,azst-12,BankTransaction.2000.0,1,2021-09-29T03:10:42.0789243Z,2,2000,35.7459209
EP2,4,azst-12,BankTransaction.2000.0,1,2021-09-29T03:12:33.7564245Z,3,2000,30.1186555
EP2,4,azst-12,BankTransaction.2000.0,1,2021-09-29T03:14:25.1264056Z,4,2000,48.8193613
EP2,4,azst-12,BankTransaction.2000.0,1,2021-09-29T03:16:16.8317299Z,5,2000,45.1333266
EP2,4,neth,BankTransaction.3000.0,20,2021-09-29T03:22:07.4028422Z,0,3000,20.0161284
EP2,4,neth,BankTransaction.3000.0,20,2021-09-29T03:24:02.3705105Z,1,3000,19.0887343
EP2,4,neth,BankTransaction.3000.0,20,2021-09-29T03:25:55.4492746Z,2,3000,23.0497481
EP2,4,neth,BankTransaction.3000.0,20,2021-09-29T03:27:49.0476679Z,3,3000,19.5772844
EP2,4,neth,BankTransaction.3000.0,20,2021-09-29T03:29:42.3680674Z,4,3000,19.1574126
EP2,4,neth,BankTransaction.3000.0,20,2021-09-29T03:31:35.3597154Z,5,3000,19.0288008
EP2,8,azst-12,BankTransaction.2000.0,1,2021-09-29T03:36:59.3418171Z,0,2000,34.6795936
EP2,8,azst-12,BankTransaction.2000.0,1,2021-09-29T03:38:51.7909938Z,1,2000,36.8065543
EP2,8,azst-12,BankTransaction.2000.0,1,2021-09-29T03:40:42.5276169Z,2,2000,24.403327
EP2,8,azst-12,BankTransaction.2000.0,1,2021-09-29T03:42:32.5504994Z,3,2000,49.6017404
EP2,8,azst-12,BankTransaction.2000.0,1,2021-09-29T03:44:23.1757066Z,4,2000,36.9108892
EP2,8,azst-12,BankTransaction.2000.0,1,2021-09-29T03:46:14.0618057Z,5,2000,21.009362
EP2,8,neth,BankTransaction.3000.0,20,2021-09-29T03:51:58.4931985Z,0,3000,12.7933832
EP2,8,neth,BankTransaction.3000.0,20,2021-09-29T03:53:49.6593436Z,1,3000,11.6143291
EP2,8,neth,BankTransaction.3000.0,20,2021-09-29T03:55:39.9824377Z,2,3000,12.9630797
EP2,8,neth,BankTransaction.3000.0,20,2021-09-29T03:57:29.9370665Z,3,3000,11.7679711
EP2,8,neth,BankTransaction.3000.0,20,2021-09-29T03:59:19.6079733Z,4,3000,11.6015185
EP2,8,neth,BankTransaction.3000.0,20,2021-09-29T04:01:09.1584321Z,5,3000,15.683454
EP2,12,azst-12,BankTransaction.2000.0,1,2021-09-29T04:06:46.9678188Z,0,2000,37.7313142
EP2,12,azst-12,BankTransaction.2000.0,1,2021-09-29T04:08:40.4515235Z,1,2000,38.0687446
EP2,12,azst-12,BankTransaction.2000.0,1,2021-09-29T04:10:33.0102813Z,2,2000,19.3380945
EP2,12,azst-12,BankTransaction.2000.0,1,2021-09-29T04:12:25.1680862Z,3,2000,33.4244738
EP2,12,azst-12,BankTransaction.2000.0,1,2021-09-29T04:14:15.9592272Z,4,2000,37.3191195
EP2,12,azst-12,BankTransaction.2000.0,1,2021-09-29T04:16:07.7599606Z,5,2000,21.052325
EP2,12,neth,BankTransaction.3000.0,20,2021-09-29T04:22:02.2271701Z,0,3000,8.5150655
EP2,12,neth,BankTransaction.3000.0,20,2021-09-29T04:23:53.3524232Z,1,3000,7.5574588
EP2,12,neth,BankTransaction.3000.0,20,2021-09-29T04:25:41.9255854Z,2,3000,7.5197324
EP2,12,neth,BankTransaction.3000.0,20,2021-09-29T04:27:31.6063884Z,3,3000,6.7243886
EP2,12,neth,BankTransaction.3000.0,20,2021-09-29T04:29:20.4546555Z,4,3000,7.5412107
EP2,12,neth,BankTransaction.3000.0,20,2021-09-29T04:31:11.6074761Z,5,3000,9.5653207
EP3,1,azst-12,BankTransaction.3000.0,1,2021-09-29T04:49:03.4910724Z,0,3000,87.4774946
EP3,1,azst-12,BankTransaction.3000.0,1,2021-09-29T04:50:54.9288452Z,1,3000,85.8259147
EP3,1,azst-12,BankTransaction.3000.0,1,2021-09-29T04:52:44.9402147Z,2,3000,89.5341694
EP3,1,azst-12,BankTransaction.3000.0,1,2021-09-29T04:54:35.0427528Z,3,3000,84.1561264
EP3,1,azst-12,BankTransaction.3000.0,1,2021-09-29T04:56:25.1934567Z,4,3000,87.264441
EP3,1,azst-12,BankTransaction.3000.0,1,2021-09-29T04:58:15.2045714Z,5,3000,98.4881992
EP3,1,neth,BankTransaction.4000.0,20,2021-09-29T05:03:30.3651994Z,0,4000,70.2128528
EP3,1,neth,BankTransaction.4000.0,20,2021-09-29T05:05:22.9029477Z,1,4000,67.7885355
EP3,1,neth,BankTransaction.4000.0,20,2021-09-29T05:07:15.8375142Z,2,4000,66.1360919
EP3,1,neth,BankTransaction.4000.0,20,2021-09-29T05:09:08.6013771Z,3,4000,67.6246739
EP3,1,neth,BankTransaction.4000.0,20,2021-09-29T05:11:00.8080675Z,4,4000,62.409013
EP3,1,neth,BankTransaction.4000.0,20,2021-09-29T05:12:52.3468342Z,5,4000,67.5560355
EP3,4,azst-12,BankTransaction.3000.0,1,2021-09-29T05:18:13.0772777Z,0,3000,49.6728974
EP3,4,azst-12,BankTransaction.3000.0,1,2021-09-29T05:20:04.2651839Z,1,3000,53.4870346
EP3,4,azst-12,BankTransaction.3000.0,1,2021-09-29T05:21:54.2350503Z,2,3000,56.7275877
EP3,4,azst-12,BankTransaction.3000.0,1,2021-09-29T05:23:43.8398653Z,3,3000,57.9829893
EP3,4,azst-12,BankTransaction.3000.0,1,2021-09-29T05:25:33.9520675Z,4,3000,40.0596111
EP3,4,azst-12,BankTransaction.3000.0,1,2021-09-29T05:27:23.7808597Z,5,3000,46.5340672
EP3,4,neth,BankTransaction.4000.0,20,2021-09-29T05:33:08.8907232Z,0,4000,16.4053153
EP3,4,neth,BankTransaction.4000.0,20,2021-09-29T05:35:00.3901623Z,1,4000,14.7681965
EP3,4,neth,BankTransaction.4000.0,20,2021-09-29T05:36:51.0325087Z,2,4000,14.9622278
EP3,4,neth,BankTransaction.4000.0,20,2021-09-29T05:38:41.3753489Z,3,4000,15.0064161
EP3,4,neth,BankTransaction.4000.0,20,2021-09-29T05:40:32.0089140Z,4,4000,14.3203332
EP3,4,neth,BankTransaction.4000.0,20,2021-09-29T05:42:21.7250386Z,5,4000,14.6152465
EP3,8,azst-12,BankTransaction.3000.0,1,2021-09-29T05:47:52.2644948Z,0,3000,37.7584962
EP3,8,azst-12,BankTransaction.3000.0,1,2021-09-29T05:49:42.9612979Z,1,3000,27.246753
EP3,8,azst-12,BankTransaction.3000.0,1,2021-09-29T05:51:32.3332724Z,2,3000,42.916749
EP3,8,azst-12,BankTransaction.3000.0,1,2021-09-29T05:53:22.6728472Z,3,3000,39.1013152
EP3,8,azst-12,BankTransaction.3000.0,1,2021-09-29T05:55:12.1748203Z,4,3000,31.1626115
EP3,8,azst-12,BankTransaction.3000.0,1,2021-09-29T05:57:01.5164163Z,5,3000,36.3334889
EP3,8,neth,BankTransaction.4000.0,20,2021-09-29T06:02:54.2866020Z,0,4000,10.4543956
EP3,8,neth,BankTransaction.4000.0,20,2021-09-29T06:04:45.9696817Z,1,4000,9.7176449
EP3,8,neth,BankTransaction.4000.0,20,2021-09-29T06:06:36.7705246Z,2,4000,10.0842779
EP3,8,neth,BankTransaction.4000.0,20,2021-09-29T06:08:26.9804986Z,3,4000,9.6274438
EP3,8,neth,BankTransaction.4000.0,20,2021-09-29T06:10:18.1897385Z,4,4000,9.1322407
EP3,8,neth,BankTransaction.4000.0,20,2021-09-29T06:12:08.3722272Z,5,4000,9.3163382
EP3,12,azst-12,BankTransaction.3000.0,1,2021-09-29T06:17:32.5106996Z,0,3000,33.6004441
EP3,12,azst-12,BankTransaction.3000.0,1,2021-09-29T06:19:23.7673953Z,1,3000,44.9507881
EP3,12,azst-12,BankTransaction.3000.0,1,2021-09-29T06:21:13.5503454Z,2,3000,34.3622572
EP3,12,azst-12,BankTransaction.3000.0,1,2021-09-29T06:23:04.3015358Z,3,3000,38.604569
