plan,nodes,tag,test,tu,starttime,iteration,size,duration
EP1,1,neth,WordCount/5x10,20,2021-09-29T18:51:12.7462239Z,0,10986,19.1460022
EP1,1,neth,WordCount/5x10,20,2021-09-29T18:52:40.0481474Z,1,10986,8.3285414
EP1,1,neth,WordCount/5x10,20,2021-09-29T18:53:51.7035282Z,2,10986,9.6718382
EP1,1,neth,WordCount/5x10,20,2021-09-29T18:55:03.4395510Z,3,10986,16.5271897
EP1,1,neth,WordCount/5x10,20,2021-09-29T18:56:28.0738170Z,4,10986,10.3285547
EP1,1,neth,WordCount/5x10,20,2021-09-29T18:57:39.6634940Z,5,10986,8.7393218
EP1,1,azst-12,WordCount/5x10,1,2021-09-29T19:01:51.0146610Z,0,10986,41.3368654
EP1,1,azst-12,WordCount/5x10,1,2021-09-29T19:02:54.4485480Z,1,10986,39.9136979
EP1,1,azst-12,WordCount/5x10,1,2021-09-29T19:03:57.4450492Z,2,10986,40.4432972
EP1,1,azst-12,WordCount/5x10,1,2021-09-29T19:05:00.3693932Z,3,10986,38.5159783
EP1,1,azst-12,WordCount/5x10,1,2021-09-29T19:06:03.3487459Z,4,10986,33.4805849
EP1,1,azst-12,WordCount/5x10,1,2021-09-29T19:07:06.0380268Z,5,10986,37.5267713
EP1,4,neth,WordCount/10x10,20,2021-09-29T19:11:49.6166435Z,0,31653,16.7818593
EP1,4,neth,WordCount/10x10,20,2021-09-29T19:13:13.2004356Z,1,31653,30.2946097
EP1,4,neth,WordCount/10x10,20,2021-09-29T19:14:50.4339531Z,2,31653,66.6948288
EP1,4,neth,WordCount/10x10,20,2021-09-29T19:17:03.2858801Z,3,31653,19.5032967
EP1,4,neth,WordCount/10x10,20,2021-09-29T19:18:25.0084093Z,4,31653,15.0123033
EP1,4,neth,WordCount/10x10,20,2021-09-29T19:19:46.6147167Z,5,31653,26.4811201
EP1,4,azst-12,WordCount/10x10,1,2021-09-29T19:24:25.3079370Z,0,31653,78.7275519
EP1,4,azst-12,WordCount/10x10,1,2021-09-29T19:26:35.7242285Z,1,31653,60.7474429
EP1,4,azst-12,WordCount/10x10,1,2021-09-29T19:28:11.5505645Z,2,31653,78.3255639
EP1,4,azst-12,WordCount/10x10,1,2021-09-29T19:30:16.4689150Z,3,31653,79.4548128
EP1,4,azst-12,WordCount/10x10,1,2021-09-29T19:32:03.6503999Z,4,31653,53.1455692
EP1,4,azst-12,WordCount/10x10,1,2021-09-29T19:33:52.4102386Z,5,31653,63.1620283
EP1,8,neth,WordCount/15x20,20,2021-09-29T19:39:55.8688266Z,0,56653,11.6651241
EP1,8,neth,WordCount/15x20,20,2021-09-29T19:41:09.7327636Z,1,56653,47.9332805
EP1,8,neth,WordCount/15x20,20,2021-09-29T19:43:04.2074291Z,2,56653,9.2908207
EP1,8,neth,WordCount/15x20,20,2021-09-29T19:44:15.8759714Z,3,56653,42.028086
EP1,8,neth,WordCount/15x20,20,2021-09-29T19:46:07.6390360Z,4,56653,20.7848029
EP1,8,neth,WordCount/15x20,20,2021-09-29T19:47:29.3474417Z,5,56653,12.32522
EP1,8,azst-12,WordCount/15x20,1,2021-09-29T19:52:06.8282201Z,0,56653,58.6040204
EP1,8,azst-12,WordCount/15x20,1,2021-09-29T19:53:56.5824307Z,1,56653,64.7011694
EP1,8,azst-12,WordCount/15x20,1,2021-09-29T19:55:50.3778170Z,2,56653,104.4482206
EP1,8,azst-12,WordCount/15x20,1,2021-09-29T19:58:03.3947581Z,3,56653,77.2476731
EP1,8,azst-12,WordCount/15x20,1,2021-09-29T19:59:45.1060319Z,4,56653,69.2748317
EP1,8,azst-12,WordCount/15x20,1,2021-09-29T20:01:25.8903883Z,5,56653,76.631782
EP1,12,azst-12,WordCount/15x20,1,2021-09-29T20:18:09.9036991Z,0,56653,57.2166788
EP1,12,azst-12,WordCount/15x20,1,2021-09-29T20:19:57.6242762Z,1,56653,90.2079959
EP1,12,azst-12,WordCount/15x20,1,2021-09-29T20:22:18.4747070Z,2,56653,68.8292107
EP1,12,azst-12,WordCount/15x20,1,2021-09-29T20:24:21.2327016Z,3,56653,53.9196983
EP1,12,azst-12,WordCount/15x20,1,2021-09-29T20:26:08.8958336Z,4,56653,94.7274467
EP1,12,azst-12,WordCount/15x20,1,2021-09-29T20:28:21.7555376Z,5,56653,66.2065372
EP1,12,neth,WordCount/20x20,20,2021-09-29T20:34:13.9575047Z,0,81653,13.4076921
EP1,12,neth,WordCount/20x20,20,2021-09-29T20:35:37.8519935Z,1,81653,11.4220589
EP1,12,neth,WordCount/20x20,20,2021-09-29T20:36:50.0560676Z,2,81653,23.5868211
EP1,12,neth,WordCount/20x20,20,2021-09-29T20:38:22.0620452Z,3,81653,26.6465293
EP1,12,neth,WordCount/20x20,20,2021-09-29T20:39:53.6389676Z,4,81653,11.1893901
EP1,12,neth,WordCount/20x20,20,2021-09-29T20:41:15.1725908Z,5,81653,46.4475484
EP2,1,azst-12,WordCount/10x10,1,2021-09-29T18:32:25.2841853Z,0,31653,88.8480734
EP2,1,azst-12,WordCount/10x10,1,2021-09-29T18:34:13.9886565Z,1,31653,85.1124438
EP2,1,azst-12,WordCount/10x10,1,2021-09-29T18:36:01.9565275Z,2,31653,82.5687839
EP2,1,azst-12,WordCount/10x10,1,2021-09-29T18:37:49.4811648Z,3,31653,94.8548386
EP2,1,azst-12,WordCount/10x10,1,2021-09-29T18:39:47.5741059Z,4,31653,109.2440997
EP2,1,azst-12,WordCount/10x10,1,2021-09-29T18:41:55.0865485Z,5,31653,73.8249487
EP2,1,neth,WordCount/20x10,20,2021-09-29T18:46:39.8900468Z,0,81653,75.9847073
EP2,1,neth,WordCount/20x10,20,2021-09-29T18:48:15.5797246Z,1,81653,166.8852643
EP2,1,neth,WordCount/20x10,20,2021-09-29T18:51:24.1969805Z,2,81653,46.8020091
EP2,1,neth,WordCount/20x10,20,2021-09-29T18:52:29.6815306Z,3,81653,52.4133603
EP2,1,neth,WordCount/20x10,20,2021-09-29T18:53:44.2351059Z,4,81653,69.0114261
EP2,1,neth,WordCount/20x10,20,2021-09-29T18:55:14.9251254Z,5,81653,123.3526992
EP2,4,azst-12,WordCount/15x10,1,2021-09-29T19:00:49.7628418Z,0,56653,78.9359927
EP2,4,azst-12,WordCount/15x10,1,2021-09-29T19:02:56.4399979Z,1,56653,72.8847523
EP2,4,azst-12,WordCount/15x10,1,2021-09-29T19:04:54.4372159Z,2,56653,47.3056221
EP2,4,azst-12,WordCount/15x10,1,2021-09-29T19:06:59.8665458Z,3,56653,67.0608615
EP2,4,azst-12,WordCount/15x10,1,2021-09-29T19:08:56.9616453Z,4,56653,142.7392181
EP2,4,azst-12,WordCount/15x10,1,2021-09-29T19:12:16.2133217Z,5,56653,64.5344978
EP2,4,neth,WordCount/30x20,20,2021-09-29T19:18:00.9388215Z,0,131653,18.561625
EP2,4,neth,WordCount/30x20,20,2021-09-29T19:18:39.5173601Z,1,131653,43.8941322
EP2,4,neth,WordCount/30x20,20,2021-09-29T19:19:46.1626490Z,2,131653,19.3931556
EP2,4,neth,WordCount/30x20,20,2021-09-29T19:20:23.3527225Z,3,131653,17.1295195
EP2,4,neth,WordCount/30x20,20,2021-09-29T19:21:00.0592062Z,4,131653,41.1573739
EP2,4,neth,WordCount/30x20,20,2021-09-29T19:21:57.3641116Z,5,131653,24.7152295
EP2,8,azst-12,WordCount/20x20,1,2021-09-29T19:26:16.2265505Z,0,81653,76.6268304
EP2,8,azst-12,WordCount/20x20,1,2021-09-29T19:28:52.0072358Z,1,81653,106.0528348
EP2,8,azst-12,WordCount/20x20,1,2021-09-29T19:31:24.9918345Z,2,81653,111.9718842
EP2,8,azst-12,WordCount/20x20,1,2021-09-29T19:33:53.1102518Z,3,81653,78.9910396
EP2,8,azst-12,WordCount/20x20,1,2021-09-29T19:35:53.4080918Z,4,81653,81.7453532
EP2,8,azst-12,WordCount/20x20,1,2021-09-29T19:37:39.1824071Z,5,81653,67.1068127
