plan,nodes,tag,test,tu,starttime,iteration,size,duration
EP1,1,neth,CollisionSearch/divide-and-conquer/100,4,2021-09-28T16:09:56.8350189Z,0,100,90.1519338
EP1,1,neth,CollisionSearch/divide-and-conquer/100,4,2021-09-28T16:11:42.9403948Z,1,100,89.9521928
EP1,1,neth,CollisionSearch/divide-and-conquer/100,4,2021-09-28T16:13:28.3853786Z,2,100,89.3582001
EP1,1,neth,CollisionSearch/divide-and-conquer/100,4,2021-09-28T16:15:13.2360142Z,3,100,90.1150198
EP1,1,neth,CollisionSearch/divide-and-conquer/100,4,2021-09-28T16:16:58.7283818Z,4,100,89.548854
EP1,1,neth,CollisionSearch/divide-and-conquer/100,4,2021-09-28T16:18:43.7244047Z,5,100,89.6813604
EP1,1,azst-12,CollisionSearch/divide-and-conquer/100,1,2021-09-28T16:25:02.5663206Z,0,100,93.5189438
EP1,1,azst-12,CollisionSearch/divide-and-conquer/100,1,2021-09-28T16:26:52.3510060Z,1,100,92.4141433
EP1,1,azst-12,CollisionSearch/divide-and-conquer/100,1,2021-09-28T16:28:41.0000616Z,2,100,122.4648299
EP1,1,azst-12,CollisionSearch/divide-and-conquer/100,1,2021-09-28T16:30:59.1190835Z,3,100,92.1538871
EP1,1,azst-12,CollisionSearch/divide-and-conquer/100,1,2021-09-28T16:32:47.6226534Z,4,100,97.1010612
EP1,1,azst-12,CollisionSearch/divide-and-conquer/100,1,2021-09-28T16:34:40.4943201Z,5,100,92.7600785
EP1,4,neth,CollisionSearch/divide-and-conquer/200,4,2021-09-28T16:40:27.3517517Z,0,200,50.3302832
EP1,4,neth,CollisionSearch/divide-and-conquer/200,4,2021-09-28T16:41:33.6532426Z,1,200,61.5270189
EP1,4,neth,CollisionSearch/divide-and-conquer/200,4,2021-09-28T16:42:50.5970042Z,2,200,46.9698727
EP1,4,neth,CollisionSearch/divide-and-conquer/200,4,2021-09-28T16:43:53.0652854Z,3,200,44.9348711
EP1,4,neth,CollisionSearch/divide-and-conquer/200,4,2021-09-28T16:44:53.4927667Z,4,200,52.3614939
EP1,4,neth,CollisionSearch/divide-and-conquer/200,4,2021-09-28T16:46:01.3535593Z,5,200,52.1981949
EP1,4,azst-12,CollisionSearch/divide-and-conquer/200,1,2021-09-28T16:50:27.4642457Z,0,200,56.3360219
EP1,4,azst-12,CollisionSearch/divide-and-conquer/200,1,2021-09-28T16:51:39.8516374Z,1,200,55.128459
EP1,4,azst-12,CollisionSearch/divide-and-conquer/200,1,2021-09-28T16:52:51.2967283Z,2,200,58.3768943
EP1,4,azst-12,CollisionSearch/divide-and-conquer/200,1,2021-09-28T16:54:05.4562578Z,3,200,78.4202032
EP1,4,azst-12,CollisionSearch/divide-and-conquer/200,1,2021-09-28T16:55:39.5934522Z,4,200,56.9720488
EP1,4,azst-12,CollisionSearch/divide-and-conquer/200,1,2021-09-28T16:56:52.8252397Z,5,200,59.1241671
EP1,8,neth,CollisionSearch/divide-and-conquer/300,4,2021-09-28T17:01:51.5978445Z,0,300,55.0433029
EP1,8,neth,CollisionSearch/divide-and-conquer/300,4,2021-09-28T17:03:02.7989159Z,1,300,47.2958445
EP1,8,neth,CollisionSearch/divide-and-conquer/300,4,2021-09-28T17:04:05.6896485Z,2,300,48.0672325
EP1,8,neth,CollisionSearch/divide-and-conquer/300,4,2021-09-28T17:05:09.3225754Z,3,300,48.4071277
EP1,8,neth,CollisionSearch/divide-and-conquer/300,4,2021-09-28T17:06:13.6058981Z,4,300,51.652243
EP1,8,neth,CollisionSearch/divide-and-conquer/300,4,2021-09-28T17:07:20.6926874Z,5,300,51.2855949
EP1,8,azst-12,CollisionSearch/divide-and-conquer/300,1,2021-09-28T17:11:50.3860951Z,0,300,96.3853669
EP1,8,azst-12,CollisionSearch/divide-and-conquer/300,1,2021-09-28T17:13:43.4186066Z,1,300,55.6417168
EP1,8,azst-12,CollisionSearch/divide-and-conquer/300,1,2021-09-28T17:14:55.4280625Z,2,300,66.7573692
EP1,8,azst-12,CollisionSearch/divide-and-conquer/300,1,2021-09-28T17:16:18.7949218Z,3,300,74.6076113
EP1,8,azst-12,CollisionSearch/divide-and-conquer/300,1,2021-09-28T17:17:49.6782982Z,4,300,56.9624733
EP1,8,azst-12,CollisionSearch/divide-and-conquer/300,1,2021-09-28T17:19:02.5742155Z,5,300,63.215189
EP1,12,neth,CollisionSearch/divide-and-conquer/400,4,2021-09-28T17:24:08.3713164Z,0,400,40.5887459
EP1,12,neth,CollisionSearch/divide-and-conquer/400,4,2021-09-28T17:25:05.0332487Z,1,400,39.4564125
EP1,12,neth,CollisionSearch/divide-and-conquer/400,4,2021-09-28T17:25:59.9223970Z,2,400,39.1328452
EP1,12,neth,CollisionSearch/divide-and-conquer/400,4,2021-09-28T17:26:54.5788025Z,3,400,51.0357188
EP1,12,neth,CollisionSearch/divide-and-conquer/400,4,2021-09-28T17:28:01.0794039Z,4,400,37.5963091
EP1,12,neth,CollisionSearch/divide-and-conquer/400,4,2021-09-28T17:28:54.4429726Z,5,400,40.1504795
EP1,12,azst-12,CollisionSearch/divide-and-conquer/400,1,2021-09-28T17:41:43.4415385Z,0,400,61.3676912
EP1,12,azst-12,CollisionSearch/divide-and-conquer/400,1,2021-09-28T17:43:01.0384735Z,1,400,73.8819803
EP1,12,azst-12,CollisionSearch/divide-and-conquer/400,1,2021-09-28T17:44:30.4348334Z,2,400,63.5445534
EP1,12,azst-12,CollisionSearch/divide-and-conquer/400,1,2021-09-28T17:45:50.2456922Z,3,400,66.0849493
EP1,12,azst-12,CollisionSearch/divide-and-conquer/400,1,2021-09-28T17:47:11.9050098Z,4,400,67.504918
EP1,12,azst-12,CollisionSearch/divide-and-conquer/400,1,2021-09-28T17:48:35.6414999Z,5,400,66.4264082
EP2,1,azst-12,CollisionSearch/divide-and-conquer/200,1,2021-09-28T01:52:32.2760694Z,0,200,97.0114997
EP2,1,azst-12,CollisionSearch/divide-and-conquer/200,1,2021-09-28T01:54:24.9703490Z,1,200,96.0154633
EP2,1,azst-12,CollisionSearch/divide-and-conquer/200,1,2021-09-28T01:56:16.7761255Z,2,200,65.6607435
EP2,1,azst-12,CollisionSearch/divide-and-conquer/200,1,2021-09-28T01:57:38.5316788Z,3,200,92.09754
EP2,1,azst-12,CollisionSearch/divide-and-conquer/200,1,2021-09-28T01:59:27.1446291Z,4,200,96.4955425
EP2,1,azst-12,CollisionSearch/divide-and-conquer/200,1,2021-09-28T02:01:19.3228541Z,5,200,93.3814039
EP2,1,neth,CollisionSearch/divide-and-conquer/200,4,2021-09-28T02:06:34.2738412Z,0,200,88.5858454
EP2,1,neth,CollisionSearch/divide-and-conquer/200,4,2021-09-28T02:08:18.6822978Z,1,200,91.548309
EP2,1,neth,CollisionSearch/divide-and-conquer/200,4,2021-09-28T02:10:05.7205110Z,2,200,90.3922622
EP2,1,neth,CollisionSearch/divide-and-conquer/200,4,2021-09-28T02:11:51.6557026Z,3,200,89.6696479
EP2,1,neth,CollisionSearch/divide-and-conquer/200,4,2021-09-28T02:13:36.8612523Z,4,200,88.629105
EP2,1,neth,CollisionSearch/divide-and-conquer/200,4,2021-09-28T02:15:21.2159741Z,5,200,84.8402323
EP2,4,azst-12,CollisionSearch/divide-and-conquer/300,1,2021-09-28T02:20:17.0516617Z,0,300,63.9717243
