plan,nodes,tag,test,tu,starttime,iteration,size,duration
EP1,12,neth,HelloSequence5.5000.0,5,2021-09-28T21:55:32.9979725Z,2,5000,15.4590178
EP1,12,neth,HelloSequence5.5000.0,5,2021-09-28T21:56:54.5862142Z,3,5000,15.955784
EP1,12,neth,HelloSequence5.5000.0,5,2021-09-28T21:58:17.6311539Z,4,5000,15.7647594
EP1,12,neth,HelloSequence5.5000.0,5,2021-09-28T21:59:40.5973811Z,5,5000,14.4757481
EP2,1,azst-12,HelloSequence5.1000.0,1,2021-09-28T22:11:29.1127339Z,0,1000,40.597543
EP2,1,azst-12,HelloSequence5.1000.0,1,2021-09-28T22:13:16.0962781Z,1,1000,40.9054311
EP2,1,azst-12,HelloSequence5.1000.0,1,2021-09-28T22:15:00.9978897Z,2,1000,39.0092968
EP2,1,azst-12,HelloSequence5.1000.0,1,2021-09-28T22:16:47.0400133Z,3,1000,42.8422149
EP2,1,azst-12,HelloSequence5.1000.0,1,2021-09-28T22:18:32.8547102Z,4,1000,43.53413
EP2,1,azst-12,HelloSequence5.1000.0,1,2021-09-28T22:20:17.6738345Z,5,1000,39.8805281
EP2,1,neth,HelloSequence5.1000.0,5,2021-09-28T22:25:41.7693398Z,0,1000,11.3581086
EP2,1,neth,HelloSequence5.1000.0,5,2021-09-28T22:26:19.9150083Z,1,1000,11.5802572
EP2,1,neth,HelloSequence5.1000.0,5,2021-09-28T22:26:55.1538700Z,2,1000,11.3223197
EP2,1,neth,HelloSequence5.1000.0,5,2021-09-28T22:27:32.7629672Z,3,1000,12.1748396
EP2,1,neth,HelloSequence5.1000.0,5,2021-09-28T22:28:10.8105259Z,4,1000,11.6367096
EP2,1,neth,HelloSequence5.1000.0,5,2021-09-28T22:28:44.8415979Z,5,1000,11.3098949
EP2,4,azst-12,HelloSequence5.5000.200,1,2021-09-28T22:32:30.4605553Z,0,5000,65.5683887
EP2,4,azst-12,HelloSequence5.5000.200,1,2021-09-28T22:35:14.6195346Z,1,5000,58.0977031
EP2,4,azst-12,HelloSequence5.5000.200,1,2021-09-28T22:37:58.4881270Z,2,5000,58.3930131
EP2,4,azst-12,HelloSequence5.5000.200,1,2021-09-28T22:40:42.5829465Z,3,5000,58.8304382
EP2,4,azst-12,HelloSequence5.5000.200,1,2021-09-28T22:43:27.8686956Z,4,5000,58.3006462
EP2,4,azst-12,HelloSequence5.5000.200,1,2021-09-28T22:46:11.4343541Z,5,5000,57.3343453
EP2,4,neth,HelloSequence5.10000.200,5,2021-09-28T22:52:43.4617886Z,0,10000,27.0732188
EP2,4,neth,HelloSequence5.10000.200,5,2021-09-28T22:53:52.5903835Z,1,10000,26.2438281
EP2,4,neth,HelloSequence5.10000.200,5,2021-09-28T22:54:59.7831437Z,2,10000,25.9484132
EP2,4,neth,HelloSequence5.10000.200,5,2021-09-28T22:56:08.0698684Z,3,10000,26.7118146
EP2,4,neth,HelloSequence5.10000.200,5,2021-09-28T22:57:16.1536775Z,4,10000,31.1829501
EP2,4,neth,HelloSequence5.10000.200,5,2021-09-28T22:58:25.6733914Z,5,10000,26.7352269
EP2,8,azst-12,HelloSequence5.5000.200,1,2021-09-28T23:02:47.8795202Z,0,5000,55.8424597
EP2,8,azst-12,HelloSequence5.5000.200,1,2021-09-28T23:05:32.6121258Z,1,5000,44.8621753
EP2,8,azst-12,HelloSequence5.5000.200,1,2021-09-28T23:08:16.2538002Z,2,5000,47.2278104
EP2,8,azst-12,HelloSequence5.5000.200,1,2021-09-28T23:12:57.5333773Z,3,5000,51.628524
EP2,8,azst-12,HelloSequence5.5000.200,1,2021-09-28T23:15:41.3908218Z,4,5000,50.3553955
EP2,8,azst-12,HelloSequence5.5000.200,1,2021-09-28T23:18:24.8602518Z,5,5000,50.8749799
EP2,8,neth,HelloSequence5.10000.200,5,2021-09-28T23:24:55.6396363Z,0,10000,19.7632501
EP2,8,neth,HelloSequence5.10000.200,5,2021-09-28T23:25:53.0727660Z,1,10000,19.5734423
EP2,8,neth,HelloSequence5.10000.200,5,2021-09-28T23:26:49.6125106Z,2,10000,19.1002178
EP2,8,neth,HelloSequence5.10000.200,5,2021-09-28T23:27:46.8295991Z,3,10000,18.7563047
EP2,8,neth,HelloSequence5.10000.200,5,2021-09-28T23:28:43.7095860Z,4,10000,18.7010436
EP2,8,neth,HelloSequence5.10000.200,5,2021-09-28T23:29:40.3782151Z,5,10000,19.3462498
EP2,12,azst-12,HelloSequence5.5000.200,1,2021-09-28T23:33:50.1166317Z,0,5000,46.0203848
EP2,12,azst-12,HelloSequence5.5000.200,1,2021-09-28T23:36:35.0746357Z,1,5000,51.2428133
EP2,12,azst-12,HelloSequence5.5000.200,1,2021-09-28T23:39:19.9808287Z,2,5000,45.5808212
EP2,12,azst-12,HelloSequence5.5000.200,1,2021-09-28T23:42:04.8455534Z,3,5000,32.32502
EP2,12,azst-12,HelloSequence5.5000.200,1,2021-09-28T23:44:49.5300201Z,4,5000,38.7757976
EP2,12,azst-12,HelloSequence5.5000.200,1,2021-09-28T23:47:34.2608860Z,5,5000,55.2452471
EP2,12,neth,HelloSequence5.10000.200,5,2021-09-28T23:54:01.3104062Z,0,10000,10.8395668
EP2,12,neth,HelloSequence5.10000.200,5,2021-09-28T23:54:48.3108448Z,1,10000,9.8236624
EP2,12,neth,HelloSequence5.10000.200,5,2021-09-28T23:55:34.7040937Z,2,10000,10.3589064
EP2,12,neth,HelloSequence5.10000.200,5,2021-09-28T23:56:21.0727545Z,3,10000,10.4949189
EP2,12,neth,HelloSequence5.10000.200,5,2021-09-28T23:57:08.2723721Z,4,10000,11.9078492
EP2,12,neth,HelloSequence5.10000.200,5,2021-09-28T23:57:54.7898818Z,5,10000,10.6540084
EP3,1,azst-12,HelloSequence5.1000.0,1,2021-09-29T00:09:44.7550190Z,0,1000,92.1163372
EP3,1,azst-12,HelloSequence5.1000.0,1,2021-09-29T00:11:31.7223868Z,1,1000,42.7215869
EP3,1,azst-12,HelloSequence5.1000.0,1,2021-09-29T00:13:17.6040693Z,2,1000,49.9556512
EP3,1,azst-12,HelloSequence5.1000.0,1,2021-09-29T00:15:02.7732313Z,3,1000,45.7393041
EP3,1,azst-12,HelloSequence5.1000.0,1,2021-09-29T00:16:46.6860967Z,4,1000,80.4667922
EP3,1,azst-12,HelloSequence5.1000.0,1,2021-09-29T00:18:30.8379231Z,5,1000,70.8452283
EP3,1,neth,HelloSequence5.1000.0,5,2021-09-29T00:23:39.5870837Z,0,1000,9.5330656
EP3,1,neth,HelloSequence5.1000.0,5,2021-09-29T00:24:24.4555807Z,1,1000,8.8081045
EP3,1,neth,HelloSequence5.1000.0,5,2021-09-29T00:25:05.4252389Z,2,1000,8.0581969
EP3,1,neth,HelloSequence5.1000.0,5,2021-09-29T00:25:28.5137550Z,3,1000,8.9166619
EP3,1,neth,HelloSequence5.1000.0,5,2021-09-29T00:25:51.2495820Z,4,1000,12.0008237
EP3,1,neth,HelloSequence5.1000.0,5,2021-09-29T00:26:24.0209846Z,5,1000,8.2726272
EP3,4,azst-12,HelloSequence5.5000.200,1,2021-09-29T00:30:02.7271236Z,0,5000,97.6801384
EP3,4,azst-12,HelloSequence5.5000.200,1,2021-09-29T00:32:16.2248538Z,1,5000,96.9067281
EP3,4,azst-12,HelloSequence5.5000.200,1,2021-09-29T00:36:41.8652034Z,3,5000,81.0502667
EP3,4,azst-12,HelloSequence5.5000.200,1,2021-09-29T00:38:54.1118780Z,4,5000,102.8567986
EP3,4,azst-12,HelloSequence5.5000.200,1,2021-09-29T00:41:07.8176996Z,5,5000,97.0486441
EP3,4,neth,HelloSequence5.10000.200,5,2021-09-29T00:47:22.2288657Z,0,10000,18.5270067
EP3,4,neth,HelloSequence5.10000.200,5,2021-09-29T00:49:04.1834006Z,1,10000,18.3667162
EP3,4,neth,HelloSequence5.10000.200,5,2021-09-29T00:49:59.7400571Z,2,10000,17.5685598
EP3,4,neth,HelloSequence5.10000.200,5,2021-09-29T00:50:55.6265560Z,3,10000,17.1993058
EP3,4,neth,HelloSequence5.10000.200,5,2021-09-29T00:52:03.6676698Z,4,10000,16.9124847
EP3,4,neth,HelloSequence5.10000.200,5,2021-09-29T00:53:00.3791364Z,5,10000,19.045735
EP3,8,azst-12,HelloSequence5.5000.200,1,2021-09-29T00:57:09.9380850Z,0,5000,80.9951153
EP3,8,azst-12,HelloSequence5.5000.200,1,2021-09-29T00:59:23.2303988Z,1,5000,77.169152
EP3,8,azst-12,HelloSequence5.5000.200,1,2021-09-29T01:01:37.3321183Z,2,5000,82.8116206
EP3,8,azst-12,HelloSequence5.5000.200,1,2021-09-29T01:03:47.8186924Z,3,5000,99.1541402
EP3,8,azst-12,HelloSequence5.5000.200,1,2021-09-29T01:05:54.5976562Z,4,5000,52.8818079
EP3,8,azst-12,HelloSequence5.5000.200,1,2021-09-29T01:08:01.1016887Z,5,5000,51.7094558
EP3,8,neth,HelloSequence5.10000.200,5,2021-09-29T01:13:51.3533244Z,0,10000,12.1781782
EP3,8,neth,HelloSequence5.10000.200,5,2021-09-29T01:14:58.7257992Z,1,10000,11.6234066
EP3,8,neth,HelloSequence5.10000.200,5,2021-09-29T01:15:43.9724913Z,2,10000,11.4519459
EP3,8,neth,HelloSequence5.10000.200,5,2021-09-29T01:16:40.5700900Z,3,10000,11.3866161
EP3,8,neth,HelloSequence5.10000.200,5,2021-09-29T01:17:36.7248103Z,4,10000,11.172645
EP3,8,neth,HelloSequence5.10000.200,5,2021-09-29T01:18:22.6724260Z,5,10000,11.1598356
EP3,12,azst-12,HelloSequence5.5000.200,1,2021-09-29T01:23:33.0665221Z,0,5000,53.5533861
EP3,12,azst-12,HelloSequence5.5000.200,1,2021-09-29T01:25:43.3963151Z,1,5000,34.7627838
EP3,12,azst-12,HelloSequence5.5000.200,1,2021-09-29T01:27:53.4972176Z,2,5000,39.990956
EP3,12,azst-12,HelloSequence5.5000.200,1,2021-09-29T01:30:03.0165955Z,3,5000,53.1288492
EP3,12,azst-12,HelloSequence5.5000.200,1,2021-09-29T01:32:12.6008941Z,4,5000,35.2476886
EP3,12,neth,HelloSequence5.10000.200,5,2021-09-29T01:40:23.5248311Z,0,10000,7.7418183
EP3,12,neth,HelloSequence5.10000.200,5,2021-09-29T01:40:59.4080164Z,1,10000,6.9868215
EP3,12,neth,HelloSequence5.10000.200,5,2021-09-29T01:41:34.2966520Z,2,10000,6.7607167
EP3,12,neth,HelloSequence5.10000.200,5,2021-09-29T01:42:09.3773781Z,3,10000,7.3880138
EP3,12,neth,HelloSequence5.10000.200,5,2021-09-29T01:42:49.0748994Z,4,10000,6.1161906
EP3,12,neth,HelloSequence5.10000.200,5,2021-09-29T01:43:24.0729045Z,5,10000,6.4805168
