plan,nodes,tag,test,tu,starttime,iteration,size,duration
EP1,1,azst-12,HelloSequence5.1000.0,1,2021-09-28T19:50:45.0831952Z,0,1000,66.2522515
EP1,1,azst-12,HelloSequence5.1000.0,1,2021-09-28T19:52:59.0093526Z,1,1000,63.6423164
EP1,1,azst-12,HelloSequence5.1000.0,1,2021-09-28T19:55:09.3637391Z,2,1000,64.2526037
EP1,1,azst-12,HelloSequence5.1000.0,1,2021-09-28T19:57:19.6698521Z,3,1000,69.4631997
EP1,1,azst-12,HelloSequence5.1000.0,1,2021-09-28T19:59:32.8330907Z,4,1000,65.6643492
EP1,1,azst-12,HelloSequence5.1000.0,1,2021-09-28T20:01:45.0852973Z,5,1000,69.8440904
EP1,1,neth,HelloSequence5.1000.0,5,2021-09-28T20:07:12.8206100Z,0,1000,29.8965756
EP1,1,neth,HelloSequence5.1000.0,5,2021-09-28T20:08:12.9594419Z,1,1000,26.2821259
EP1,1,neth,HelloSequence5.1000.0,5,2021-09-28T20:08:54.8297513Z,2,1000,30.2834844
EP1,1,neth,HelloSequence5.1000.0,5,2021-09-28T20:09:36.3622238Z,3,1000,28.50175
EP1,1,neth,HelloSequence5.1000.0,5,2021-09-28T20:10:26.5880000Z,4,1000,26.5531008
EP1,1,neth,HelloSequence5.1000.0,5,2021-09-28T20:11:09.0197091Z,5,1000,29.9054054
EP1,4,azst-12,HelloSequence5.5000.0,1,2021-09-28T20:15:05.2286589Z,0,4999,96.9622129
EP1,4,azst-12,HelloSequence5.5000.0,1,2021-09-28T20:18:17.8395690Z,1,5000,89.3372064
EP1,4,azst-12,HelloSequence5.5000.0,1,2021-09-28T20:21:29.3484747Z,2,5000,86.0796852
EP1,4,azst-12,HelloSequence5.5000.0,1,2021-09-28T20:24:54.5179629Z,3,5000,87.6457945
EP1,4,azst-12,HelloSequence5.5000.0,1,2021-09-28T20:28:12.4047972Z,4,5000,80.1682437
EP1,4,azst-12,HelloSequence5.5000.0,1,2021-09-28T20:31:24.7178761Z,5,5000,85.9749958
EP1,4,neth,HelloSequence5.5000.0,5,2021-09-28T20:38:55.1238538Z,0,5000,34.27197
EP1,4,neth,HelloSequence5.5000.0,5,2021-09-28T20:40:36.4028203Z,1,5000,31.3725487
EP1,4,neth,HelloSequence5.5000.0,5,2021-09-28T20:42:13.9715255Z,2,5000,44.1432955
EP1,4,neth,HelloSequence5.5000.0,5,2021-09-28T20:44:02.8893267Z,3,5000,35.1043067
EP1,4,neth,HelloSequence5.5000.0,5,2021-09-28T20:45:44.4820428Z,4,5000,46.1380309
EP1,4,neth,HelloSequence5.5000.0,5,2021-09-28T20:47:38.0111992Z,5,5000,36.5629095
EP1,8,azst-12,HelloSequence5.5000.0,1,2021-09-28T20:52:46.7650231Z,0,5000,61.5679095
EP1,8,azst-12,HelloSequence5.5000.0,1,2021-09-28T20:56:08.1847383Z,1,5000,65.0493854
EP1,8,azst-12,HelloSequence5.5000.0,1,2021-09-28T20:59:26.1096608Z,2,4997,52.889379
EP1,8,azst-12,HelloSequence5.5000.0,1,2021-09-28T21:02:49.5010898Z,3,5000,63.4367979
EP1,8,azst-12,HelloSequence5.5000.0,1,2021-09-28T21:06:10.3410232Z,4,5000,57.68128
EP1,8,azst-12,HelloSequence5.5000.0,1,2021-09-28T21:09:28.4212311Z,5,5000,66.1270699
EP1,8,neth,HelloSequence5.5000.0,5,2021-09-28T21:16:35.3844881Z,0,5000,29.5980721
EP1,8,neth,HelloSequence5.5000.0,5,2021-09-28T21:18:13.5661690Z,1,5000,26.322507
EP1,8,neth,HelloSequence5.5000.0,5,2021-09-28T21:19:46.8202699Z,2,5000,26.3447794
EP1,8,neth,HelloSequence5.5000.0,5,2021-09-28T21:21:21.4528122Z,3,5000,27.3852124
EP1,8,neth,HelloSequence5.5000.0,5,2021-09-28T21:22:56.8040583Z,4,5000,37.0966513
EP1,8,neth,HelloSequence5.5000.0,5,2021-09-28T21:24:38.8247002Z,5,5000,23.7830425
EP1,12,azst-12,HelloSequence5.5000.0,1,2021-09-28T21:29:27.6364539Z,0,4999,52.8529998
EP1,12,azst-12,HelloSequence5.5000.0,1,2021-09-28T21:32:45.2020681Z,1,4997,51.1480145
EP1,12,azst-12,HelloSequence5.5000.0,1,2021-09-28T21:35:58.2056179Z,2,5000,54.1250437
EP1,12,azst-12,HelloSequence5.5000.0,1,2021-09-28T21:39:16.1806201Z,3,5000,46.9746347
EP1,12,azst-12,HelloSequence5.5000.0,1,2021-09-28T21:42:30.4097089Z,4,5000,44.9587117
EP1,12,azst-12,HelloSequence5.5000.0,1,2021-09-28T21:45:45.9263852Z,5,5000,43.2944824
EP1,12,neth,HelloSequence5.5000.0,5,2021-09-28T21:52:47.1553623Z,0,5000,15.6869479
EP1,12,neth,HelloSequence5.5000.0,5,2021-09-28T21:54:10.6510289Z,1,5000,15.7394445
