latency,percentile,series+id
172.59,0,bank-orig C99CA580
178.87,0.1,bank-orig C99CA580
179.86,0.1,bank-orig C99CA580
180.06,0.2,bank-orig C99CA580
188.12,0.3,bank-orig C99CA580
188.83,0.3,bank-orig C99CA580
189.19,0.4,bank-orig C99CA580
189.91,0.5,bank-orig C99CA580
190.38,0.5,bank-orig C99CA580
191.04,0.6,bank-orig C99CA580
191.65,0.7000000000000001,bank-orig C99CA580
192.1,0.7000000000000001,bank-orig C99CA580
192.83,0.8,bank-orig C99CA580
193.39,0.8999999999999999,bank-orig C99CA580
194.26,0.8999999999999999,bank-orig C99CA580
194.5,1,bank-orig C99CA580
195.04,1.0999999999999999,bank-orig C99CA580
195.43,1.0999999999999999,bank-orig C99CA580
196.37,1.2,bank-orig C99CA580
197.32,1.3,bank-orig C99CA580
197.69,1.3,bank-orig C99CA580
198.5,1.4000000000000001,bank-orig C99CA580
200.03,1.5,bank-orig C99CA580
200.05,1.5,bank-orig C99CA580
200.34,1.6,bank-orig C99CA580
201.77,1.7000000000000002,bank-orig C99CA580
201.89,1.7000000000000002,bank-orig C99CA580
202.31,1.7999999999999998,bank-orig C99CA580
202.82,1.9,bank-orig C99CA580
204.99,1.9,bank-orig C99CA580
205.96,2,bank-orig C99CA580
206.66,2.1,bank-orig C99CA580
207.31,2.1,bank-orig C99CA580
209.47,2.1999999999999997,bank-orig C99CA580
209.71,2.3,bank-orig C99CA580
211.44,2.3,bank-orig C99CA580
211.58,2.4,bank-orig C99CA580
213.08,2.5,bank-orig C99CA580
213.23,2.5,bank-orig C99CA580
213.61,2.6,bank-orig C99CA580
213.84,2.7,bank-orig C99CA580
215.48,2.7,bank-orig C99CA580
218.87,2.8000000000000003,bank-orig C99CA580
219.18,2.9000000000000004,bank-orig C99CA580
220.66,2.9000000000000004,bank-orig C99CA580
220.73,3,bank-orig C99CA580
220.75,3.1,bank-orig C99CA580
220.8,3.1,bank-orig C99CA580
220.93,3.2,bank-orig C99CA580
221.3,3.3000000000000003,bank-orig C99CA580
223.25,3.3000000000000003,bank-orig C99CA580
224.05,3.4000000000000004,bank-orig C99CA580
224.7,3.5000000000000004,bank-orig C99CA580
226.06,3.5000000000000004,bank-orig C99CA580
226.65,3.5999999999999996,bank-orig C99CA580
227.23,3.6999999999999997,bank-orig C99CA580
227.77,3.6999999999999997,bank-orig C99CA580
228.21,3.8,bank-orig C99CA580
228.47,3.9,bank-orig C99CA580
229.06,3.9,bank-orig C99CA580
229.48,4,bank-orig C99CA580
230.72,4.1000000000000005,bank-orig C99CA580
231.01,4.1000000000000005,bank-orig C99CA580
231.45,4.2,bank-orig C99CA580
232.88,4.3,bank-orig C99CA580
233.69,4.3,bank-orig C99CA580
234.33,4.3999999999999995,bank-orig C99CA580
234.4,4.5,bank-orig C99CA580
235.15,4.5,bank-orig C99CA580
237.47,4.6,bank-orig C99CA580
240.46,4.7,bank-orig C99CA580
240.71,4.7,bank-orig C99CA580
244.55,4.8,bank-orig C99CA580
244.72,4.9,bank-orig C99CA580
245.61,4.9,bank-orig C99CA580
247.09,5,bank-orig C99CA580
247.49,5.1,bank-orig C99CA580
248.17,5.1,bank-orig C99CA580
249.02,5.2,bank-orig C99CA580
249.53,5.3,bank-orig C99CA580
249.56,5.3,bank-orig C99CA580
250.2,5.4,bank-orig C99CA580
250.58,5.5,bank-orig C99CA580
251.31,5.5,bank-orig C99CA580
251.47,5.6000000000000005,bank-orig C99CA580
253.71,5.7,bank-orig C99CA580
254.32,5.7,bank-orig C99CA580
256.46,5.800000000000001,bank-orig C99CA580
256.93,5.8999999999999995,bank-orig C99CA580
256.94,5.8999999999999995,bank-orig C99CA580
257.78,6,bank-orig C99CA580
258.08,6.1,bank-orig C99CA580
259.56,6.1,bank-orig C99CA580
259.88,6.2,bank-orig C99CA580
261.07,6.3,bank-orig C99CA580
263.08,6.3,bank-orig C99CA580
264.52,6.4,bank-orig C99CA580
264.55,6.5,bank-orig C99CA580
264.74,6.5,bank-orig C99CA580
265.18,6.6000000000000005,bank-orig C99CA580
266.26,6.7,bank-orig C99CA580
266.32,6.7,bank-orig C99CA580
266.32,6.800000000000001,bank-orig C99CA580
266.73,6.9,bank-orig C99CA580
266.87,6.9,bank-orig C99CA580
268.15,7.000000000000001,bank-orig C99CA580
268.68,7.1,bank-orig C99CA580
269.09,7.1,bank-orig C99CA580
271.78,7.199999999999999,bank-orig C99CA580
272.52,7.3,bank-orig C99CA580
273.85,7.3,bank-orig C99CA580
275.5,7.3999999999999995,bank-orig C99CA580
275.57,7.5,bank-orig C99CA580
275.6,7.5,bank-orig C99CA580
275.69,7.6,bank-orig C99CA580
276.63,7.7,bank-orig C99CA580
282.34,7.7,bank-orig C99CA580
282.74,7.8,bank-orig C99CA580
282.98,7.9,bank-orig C99CA580
283.11,7.9,bank-orig C99CA580
283.93,8,bank-orig C99CA580
284.27,8.1,bank-orig C99CA580
285.79,8.1,bank-orig C99CA580
285.8,8.200000000000001,bank-orig C99CA580
286.24,8.3,bank-orig C99CA580
287.14,8.3,bank-orig C99CA580
288.15,8.4,bank-orig C99CA580
290.21,8.4,bank-orig C99CA580
290.47,8.5,bank-orig C99CA580
291.33,0,bank-neth-np 280C07FE
291.67,8.6,bank-orig C99CA580
291.69,8.6,bank-orig C99CA580
291.9,8.7,bank-orig C99CA580
293.51,8.799999999999999,bank-orig C99CA580
293.82,0.1,bank-neth-np 280C07FE
294.38,8.799999999999999,bank-orig C99CA580
294.63,8.9,bank-orig C99CA580
294.73,0.1,bank-neth-np 280C07FE
295.13,9,bank-orig C99CA580
295.74,9,bank-orig C99CA580
295.74,9.1,bank-orig C99CA580
295.94,0.2,bank-neth-np 280C07FE
296.74,9.2,bank-orig C99CA580
297.12,0.3,bank-neth-np 280C07FE
297.65,9.2,bank-orig C99CA580
298.37,9.3,bank-orig C99CA580
298.42,9.4,bank-orig C99CA580
298.49,9.4,bank-orig C99CA580
298.8,0,bank-neth-p 4064FCA9
299.02,0.3,bank-neth-np 280C07FE
299.46,0.4,bank-neth-np 280C07FE
299.74,9.5,bank-orig C99CA580
300.51,9.6,bank-orig C99CA580
300.93,0.1,bank-neth-p 4064FCA9
301.07,9.6,bank-orig C99CA580
301.29,0.5,bank-neth-np 280C07FE
301.45,0.5,bank-neth-np 280C07FE
301.54,0.6,bank-neth-np 280C07FE
301.57,0.1,bank-neth-p 4064FCA9
301.76,0.2,bank-neth-p 4064FCA9
302.06,0.7000000000000001,bank-neth-np 280C07FE
302.39,9.700000000000001,bank-orig C99CA580
302.71,9.8,bank-orig C99CA580
302.79,0.7000000000000001,bank-neth-np 280C07FE
303.17,0.8,bank-neth-np 280C07FE
303.9,0.8999999999999999,bank-neth-np 280C07FE
303.91,0.3,bank-neth-p 4064FCA9
304.2,9.8,bank-orig C99CA580
304.49,0.8999999999999999,bank-neth-np 280C07FE
304.71,1,bank-neth-np 280C07FE
306.57,1.0999999999999999,bank-neth-np 280C07FE
306.6,9.9,bank-orig C99CA580
306.88,1.0999999999999999,bank-neth-np 280C07FE
306.94,0.3,bank-neth-p 4064FCA9
307.02,0.4,bank-neth-p 4064FCA9
307.04,0.5,bank-neth-p 4064FCA9
307.4,10,bank-orig C99CA580
307.55,10,bank-orig C99CA580
307.63,0.5,bank-neth-p 4064FCA9
307.65,1.2,bank-neth-np 280C07FE
307.69,10.100000000000001,bank-orig C99CA580
308.01,0.6,bank-neth-p 4064FCA9
308.76,10.2,bank-orig C99CA580
309.19,10.2,bank-orig C99CA580
309.25,1.3,bank-neth-np 280C07FE
309.52,0.7000000000000001,bank-neth-p 4064FCA9
309.98,1.3,bank-neth-np 280C07FE
310,0.7000000000000001,bank-neth-p 4064FCA9
310.2,0.8,bank-neth-p 4064FCA9
310.54,1.4000000000000001,bank-neth-np 280C07FE
310.62,10.299999999999999,bank-orig C99CA580
310.78,0.8999999999999999,bank-neth-p 4064FCA9
310.93,10.4,bank-orig C99CA580
